thisRow.t,notes,response,correct,correct_response,response_time,bonus,difficulty,category,phase,t_delay,participant,session,date,
,,left,1,['left'],1.3283082069992815,0.0,2,2,train,0.8526977149812242,,,2023-12-15_09h43.44.249,
,,left,1,['left'],1.1981307490004838,0.0,1,2,train,1.0824323230997308,,,2023-12-15_09h43.44.249,
,,left,1,['left'],2.349382415999571,0.0,2,1,train,0.8699063458639648,,,2023-12-15_09h43.44.249,
,,left,1,['left'],1.1389968750008848,0.0,1,2,train,0.8606295753291419,,,2023-12-15_09h43.44.249,
,,right,1,['right'],0.8984128739994048,0.0,1,1,train,1.2227755359110024,,,2023-12-15_09h43.44.249,
,,left,1,['left'],0.8271089999998367,0.0,1,2,train,1.190169011070275,,,2023-12-15_09h43.44.249,
,,left,1,['left'],1.3080558330002532,0.0,1,1,train,1.0999351252634595,,,2023-12-15_09h43.44.249,
,,left,1,['left'],1.6242393749998882,0.0,1,1,train,1.0138609339628868,,,2023-12-15_09h43.44.249,
,,right,1,['right'],0.8390868739988946,0.0,2,2,train,1.1487507409808828,,,2023-12-15_09h43.44.249,
,,right,1,['right'],1.6873402490000444,0.0,2,1,train,1.2185407218086783,,,2023-12-15_09h43.44.249,
,,left,1,['left'],1.0073948329991254,0.05,1,1,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],0.9664160820011602,0.05,1,2,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],0.9812274159994558,0.05,1,2,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],1.0381330000000162,0.05,1,2,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],0.8110587080009282,0.05,1,2,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],0.9030150830003549,0.05,2,2,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],0.8045603739992657,0.05,2,2,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],0.705198665998978,0.05,2,2,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],0.9582412070012651,0.05,2,1,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],0.8835008330006531,0.05,2,1,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],1.0354310000002442,0.05,3,2,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],1.0540291240013175,0.05,3,2,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],0.8157551249987591,0.05,3,1,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],0.7635733329989307,0.05,3,1,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],0.902691291001247,0.05,3,1,test,,,,2023-12-15_09h43.44.249,
,,right,0,['left'],0.7699557910000294,0,4,1,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],0.8880999160010106,0.05,4,1,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],2.35273237399997,0.05,4,2,test,,,,2023-12-15_09h43.44.249,
,,right,0,['left'],0.8162550409997493,0,4,1,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],1.1474116659992433,0.05,4,1,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],0.931680416000745,0.05,3,2,test,,,,2023-12-15_09h43.44.249,
,,left,0,['right'],1.6410540829983802,0,3,1,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],1.710614000001442,0.05,3,1,test,,,,2023-12-15_09h43.44.249,
,,left,0,['right'],2.3007876250012487,0,3,1,test,,,,2023-12-15_09h43.44.249,
,,right,0,['left'],2.322290375001103,0,3,1,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],1.3579013329999725,0.05,2,1,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],1.4156911659993057,0.05,2,1,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],1.4951414989991463,0.05,2,1,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],1.1254392490009195,0.05,2,2,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],0.887914291000925,0.05,2,2,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],1.0106377079991944,0.05,3,1,test,,,,2023-12-15_09h43.44.249,
,,left,0,['right'],2.021367582001403,0,3,1,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],0.8206309580000379,0.05,3,2,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],1.1517566660004377,0.05,3,1,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],2.6896580409993476,0.05,3,1,test,,,,2023-12-15_09h43.44.249,
,,left,0,['right'],2.066611999998713,0,4,2,test,,,,2023-12-15_09h43.44.249,
,,,0,['right'],None,0,4,1,test,,,,2023-12-15_09h43.44.249,
,,right,0,['left'],1.7155207489995519,0,4,1,test,,,,2023-12-15_09h43.44.249,
,,right,0,['left'],1.7330081239997526,0,4,1,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],0.979184998999699,0.05,4,1,test,,,,2023-12-15_09h43.44.249,
,,left,0,['right'],2.5139993330012658,0,3,1,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],1.1717957490000117,0.05,3,2,test,,,,2023-12-15_09h43.44.249,
,,left,0,['right'],2.6235142500008806,0,3,1,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],1.0605054989991913,0.05,3,2,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],1.384119248999923,0.05,3,2,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],1.0823773330012045,0.05,2,2,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],0.9747665410013724,0.05,2,1,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],0.9317177909997554,0.05,2,2,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],0.7208594990006532,0.05,2,2,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],0.7099962910015165,0.05,2,2,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],1.3471916660000716,0.05,3,2,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],1.994384290999733,0.05,3,2,test,,,,2023-12-15_09h43.44.249,
,,left,0,['right'],3.0365265000000363,0,3,1,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],0.8640565410005365,0.05,3,2,test,,,,2023-12-15_09h43.44.249,
,,right,0,['left'],1.993421290999322,0,3,1,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],1.0341803320006875,0.05,2,1,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],2.1786633749998146,0.05,2,1,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],1.1930527490003442,0.05,2,1,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],1.0241293750004843,0.05,2,1,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],1.046314707999045,0.05,2,1,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],2.312617499001135,0.05,3,1,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],0.8156878329991741,0.05,3,2,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],1.4023925410001539,0.05,3,2,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],0.9871659580003325,0.05,3,1,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],1.1442783330003294,0.05,3,2,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],2.0310194579997187,0.05,4,2,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],1.7609004999994795,0.05,4,1,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],0.9490638750012295,0.05,4,2,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],1.49985608300085,0.05,4,1,test,,,,2023-12-15_09h43.44.249,
,,left,0,['right'],0.9111869989992556,0,4,1,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],2.0903374160006933,0.05,5,2,test,,,,2023-12-15_09h43.44.249,
,,left,0,['right'],1.977667790999476,0,5,1,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],2.120480707999377,0.05,5,1,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],1.248677540999779,0.05,5,1,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],1.3337269160001597,0.05,5,2,test,,,,2023-12-15_09h43.44.249,
,,right,0,['left'],2.3672947909999493,0,5,1,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],1.8684952080002404,0.05,4,2,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],2.3664202079999086,0.05,4,1,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],1.2109527079992404,0.05,4,2,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],2.21260670799893,0.05,4,1,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],2.4717061660012405,0.05,4,1,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],1.2305489989994385,0.05,5,1,test,,,,2023-12-15_09h43.44.249,
,,right,0,['left'],1.8624459990005562,0,5,2,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],2.918953248999969,0.05,5,1,test,,,,2023-12-15_09h43.44.249,
,,left,0,['right'],2.5684660829992936,0,5,2,test,,,,2023-12-15_09h43.44.249,
,,right,0,['left'],1.3418928739993135,0,5,2,test,,,,2023-12-15_09h43.44.249,
,,left,0,['right'],3.1323951249996753,0,4,2,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],2.0827027079994878,0.05,4,1,test,,,,2023-12-15_09h43.44.249,
,,left,1,['left'],1.498833999999988,0.05,4,2,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],2.2230029160000413,0.05,4,2,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],1.0093675820007775,0.05,4,2,test,,,,2023-12-15_09h43.44.249,
,,left,0,['right'],1.6536474999993516,0,5,1,test,,,,2023-12-15_09h43.44.249,
,,right,1,['right'],1.0212997489998088,0.05,5,2,test,,,,2023-12-15_09h43.44.249,
,,,0,['right'],None,0,5,1,test,,,,2023-12-15_09h43.44.249,
